Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,0,0,1097,1,11,2,3,1,70,3,1,79,2,3,0,1,1,12039.94459219353,8302,2,0,1,13,3,3,80,1,10,3,3,4,0,2,3
26,0,2,1443,2,23,3,2,1,72,3,0,47,2,2,7,4,1,-164.51800925556108,21436,7,0,1,19,3,3,80,1,5,2,2,2,2,0,0
33,0,1,515,1,1,2,1,1,73,1,0,98,3,3,5,4,2,26140.18625850405,15146,1,0,1,12,3,3,80,0,15,1,3,15,14,8,12
35,0,1,853,2,18,5,1,1,74,2,1,71,3,3,7,1,1,84056.53997345816,11031,1,0,0,22,4,4,80,1,9,3,2,9,8,1,8
35,0,2,1142,1,23,4,3,1,75,3,0,30,3,1,2,1,1,26460.113247793517,16002,3,0,1,15,3,3,80,1,4,3,3,2,2,2,2
31,0,2,655,1,7,4,1,1,76,4,1,48,3,2,2,4,0,-3586.900610926643,9528,3,0,0,22,4,4,80,1,10,3,2,7,7,1,7
37,0,2,1115,1,1,4,1,1,77,1,1,51,2,2,4,3,0,-71696.52782246543,2689,1,0,0,18,3,3,80,1,7,2,4,7,5,0,7
32,0,2,427,1,1,3,3,1,78,1,1,33,3,2,4,4,1,-7194.418659698527,10877,1,0,1,22,4,2,80,1,9,3,3,9,8,7,8
38,0,1,653,1,29,5,1,1,79,4,0,50,3,2,2,4,2,10549.550999633822,5456,1,0,0,11,3,4,80,0,10,2,3,10,3,9,9
50,0,2,989,1,7,2,3,1,80,2,0,43,2,5,5,3,0,5196.518373853083,16701,5,0,1,12,3,4,80,1,29,2,2,27,3,13,8
59,0,2,1435,2,25,3,1,1,81,1,0,99,3,3,7,1,2,-4531.912490840794,2354,7,0,0,11,3,4,80,0,28,3,2,21,16,7,9
36,0,2,1223,1,8,3,5,1,83,3,0,59,3,3,0,3,0,1531.568318310001,8202,1,0,0,13,3,2,80,3,17,2,3,17,14,12,8
55,0,2,836,1,8,3,3,1,84,4,0,33,3,4,3,3,0,49732.51940205266,19730,2,0,1,14,3,3,80,3,21,2,3,5,0,0,2
36,0,1,1195,1,11,3,1,1,85,2,1,95,2,2,4,2,2,-614.6193698436573,22656,1,0,0,13,3,3,80,0,6,3,3,6,5,0,3
45,0,2,1339,1,7,3,1,1,86,2,1,59,3,3,6,1,0,26297.861051735275,18787,2,0,0,17,3,3,80,1,25,2,3,1,0,0,0
35,0,1,664,1,1,3,3,1,88,2,1,79,3,1,6,1,1,21782.247501899674,5868,4,0,0,13,3,4,80,1,5,2,2,3,2,1,2
36,1,2,318,1,9,3,3,1,90,4,1,79,2,1,6,3,1,3241.057059833628,21777,0,0,1,17,3,1,80,1,2,0,2,1,0,0,0
59,0,1,1225,2,1,1,1,1,91,1,0,57,2,2,7,3,2,85201.21630184585,24668,7,0,0,11,3,4,80,0,20,2,2,4,3,1,3
29,0,2,1328,1,2,3,1,1,94,3,1,76,3,1,6,2,1,11554.608790047565,4956,0,0,0,23,4,4,80,1,6,3,3,5,4,0,4
31,0,2,1082,1,1,4,3,1,95,3,1,87,3,1,6,2,2,30709.722670396022,18775,1,0,0,17,3,2,80,0,1,4,3,1,1,1,0
32,0,2,548,1,1,3,1,1,96,2,1,66,3,2,6,2,1,10965.41569324061,7346,1,0,0,17,3,2,80,2,10,3,3,10,4,0,9
36,0,2,132,1,6,3,1,1,97,2,0,55,4,1,2,4,1,24199.346586840857,22002,3,0,0,12,3,2,80,0,5,3,3,1,0,0,0
31,0,2,746,1,8,4,1,1,98,3,0,61,3,2,4,4,2,14193.690810210737,20682,1,0,0,23,4,4,80,0,11,2,3,11,7,1,8
35,0,2,776,2,1,4,2,1,100,3,1,32,2,2,7,1,2,-6292.96221119933,23016,0,0,0,14,3,2,80,0,16,2,3,15,13,2,8
45,0,2,193,1,6,4,4,1,101,4,1,52,3,3,5,1,1,-469.67563420595616,15067,4,0,1,14,3,2,80,0,17,3,4,0,0,0,0
37,0,2,397,1,7,4,3,1,102,1,1,30,3,3,5,3,2,-5356.232441999058,25258,4,0,0,13,3,1,80,0,16,3,4,5,2,0,2
46,0,2,945,0,5,2,3,1,103,2,1,80,3,2,1,2,0,-11348.817824891308,10425,8,0,1,22,4,4,80,1,16,2,3,4,2,0,2
30,0,2,852,1,1,1,1,1,104,4,1,55,2,2,2,4,1,60082.18375647501,15998,1,0,1,12,3,3,80,2,10,1,2,10,8,3,0
35,0,2,1214,1,1,3,3,1,105,2,1,30,2,1,6,3,2,16582.31492057442,26278,1,0,0,18,3,1,80,0,6,3,3,6,4,0,4
55,0,2,111,2,1,2,1,1,106,1,1,70,3,3,7,4,1,47973.80764485681,18092,3,0,0,14,3,4,80,1,24,4,3,1,0,1,0
38,0,0,573,1,6,3,3,1,107,2,0,79,1,2,6,4,0,1160.3001796108792,15717,7,0,1,12,3,4,80,3,17,3,3,13,11,1,9
34,0,2,1153,1,1,2,3,1,110,1,1,94,3,2,4,2,1,4749.280499204757,17736,1,0,0,15,3,3,80,0,5,2,3,5,2,1,3
56,0,2,1400,1,7,3,1,1,112,4,1,49,1,3,4,4,2,-489.3568348399949,21698,4,0,0,11,3,1,80,0,37,3,2,6,4,0,2
23,0,2,541,2,2,1,5,1,113,3,1,62,3,1,8,1,0,-64829.021802650925,9518,3,0,0,13,3,3,80,1,3,3,3,0,0,0,0
51,0,2,432,1,9,4,1,1,116,4,1,96,3,1,2,4,1,277.7152939570176,18725,3,0,0,23,4,2,80,2,10,4,3,4,2,0,3
30,0,2,288,1,2,3,1,1,117,3,1,99,2,2,0,4,1,-14582.950023458761,15830,1,0,0,19,3,1,80,3,11,3,3,11,10,10,8
46,1,2,669,2,9,2,3,1,118,3,1,64,2,3,7,4,2,11093.433840277514,13596,1,0,0,16,3,4,80,0,9,3,3,9,8,4,7
40,0,1,530,1,1,4,1,1,119,3,1,78,2,4,0,2,1,10857.80146348112,14115,1,0,0,22,4,4,80,1,22,3,2,22,3,11,11
51,0,2,632,2,21,4,2,1,120,3,1,71,3,2,7,4,2,36667.32534829351,8423,0,0,1,22,4,4,80,0,11,2,1,10,7,1,0
30,0,2,1334,2,4,2,3,1,121,3,0,63,2,2,7,2,0,-1013.983026811863,19760,1,0,1,12,3,2,80,3,11,4,2,11,8,2,7
46,0,1,638,1,1,3,3,1,124,3,1,40,2,3,0,1,1,18841.907557430462,3142,2,0,1,13,3,3,80,1,21,5,2,10,9,9,5
32,0,2,1093,2,6,4,3,1,125,2,1,87,3,2,7,3,2,-45739.03876511568,24301,1,0,0,16,3,1,80,0,12,0,3,11,8,5,7
54,0,2,1217,1,2,4,5,1,126,1,0,60,3,3,5,3,1,3232.214023186436,24001,9,0,0,12,3,1,80,1,16,5,1,4,3,0,3
24,0,2,1353,2,3,2,4,1,128,1,0,33,3,2,7,3,1,28022.734211835206,17519,0,0,0,21,4,1,80,1,4,2,2,3,2,0,2
28,0,0,120,2,4,3,3,1,129,2,1,43,3,2,7,3,1,5180.656813414068,8863,1,0,0,15,3,2,80,0,5,3,4,5,4,0,4
58,0,2,682,2,10,4,3,1,131,4,1,37,3,4,7,3,2,766.9143039411374,24409,0,0,0,13,3,3,80,0,38,1,2,37,10,1,8
44,0,0,489,1,23,3,3,1,132,2,1,67,3,2,2,2,1,-2037.1561856055373,25043,4,0,0,12,3,3,80,1,17,3,4,3,2,1,2
37,1,2,807,0,6,4,0,1,133,3,1,63,3,1,1,1,0,20101.576596405725,23648,4,0,1,22,4,4,80,0,7,3,3,3,2,0,2
32,0,2,827,1,1,1,1,1,134,4,1,71,3,1,6,1,2,-39896.24590620663,15178,1,0,0,13,3,4,80,0,1,2,3,1,0,0,0
20,1,1,871,1,6,3,1,1,137,4,0,66,2,1,2,4,2,69150.8429343179,19783,1,0,1,18,3,2,80,0,1,5,3,1,0,1,0
34,0,2,665,1,6,4,4,1,138,1,0,41,3,2,6,3,2,12564.507918766118,12482,1,0,0,14,3,3,80,0,16,3,3,16,13,2,10
37,0,0,1040,1,2,2,1,1,139,3,1,100,2,2,0,4,0,8683.562506190869,15850,5,0,0,14,3,4,80,1,17,2,4,1,0,0,0
59,0,0,1420,0,2,4,0,1,140,3,0,32,2,5,3,4,1,76829.16540181127,21922,9,0,0,21,4,4,80,1,30,3,3,3,2,2,2
50,0,1,1115,1,1,3,1,1,141,1,0,73,3,5,5,2,1,35084.10416427614,9755,3,0,1,19,3,1,80,0,28,1,2,8,3,0,7
25,1,2,240,2,5,3,2,1,142,3,1,46,2,2,7,3,2,5803.556203280557,26959,1,0,1,11,3,4,80,0,6,1,3,6,4,0,3
25,0,2,1280,1,7,1,3,1,143,4,1,64,2,1,6,4,1,8565.64745342472,26897,1,0,0,11,3,3,80,2,2,2,3,2,2,2,1
22,0,2,534,1,15,3,3,1,144,2,0,59,3,1,2,4,2,33605.9030133605,23785,1,0,0,15,3,3,80,0,1,5,3,0,0,0,0
51,0,1,1456,1,1,4,3,1,145,1,0,30,2,3,0,1,2,-22075.749996711478,25796,3,0,0,20,4,3,80,0,23,1,2,13,12,12,8
34,1,1,658,1,7,3,1,1,147,1,1,66,1,2,2,3,2,6788.688570787944,22887,1,0,1,24,4,4,80,0,9,3,3,9,7,0,6
54,0,0,142,0,26,3,0,1,148,4,0,30,4,4,3,4,2,28424.963505926844,13871,2,0,1,12,3,3,80,0,23,3,3,5,3,4,4
24,0,2,1127,1,18,1,1,1,150,2,1,52,3,1,2,3,1,22181.19564947395,13257,0,0,0,12,3,3,80,1,6,2,3,5,3,1,2
34,0,2,1031,1,6,4,1,1,151,3,0,45,2,2,6,2,0,12328.778637473808,15000,6,0,0,15,3,3,80,1,12,3,3,1,0,0,0
37,0,2,1189,2,3,3,1,1,152,3,1,87,3,3,7,4,2,20739.911468026825,14506,2,0,0,12,3,1,80,0,12,3,3,5,3,1,3
34,0,2,1354,1,5,3,3,1,153,3,0,45,2,3,3,1,2,16643.62335370573,5615,2,0,0,12,3,4,80,0,14,6,3,11,10,5,8
36,0,1,1467,2,11,2,5,1,154,2,0,92,3,3,7,4,1,15578.783087889706,22952,0,0,0,14,3,3,80,1,10,6,3,9,7,2,8
36,0,2,922,1,3,2,1,1,155,1,0,39,3,1,2,4,0,17883.417624080146,2561,5,0,0,22,4,1,80,1,7,2,3,1,0,0,0
43,0,1,394,2,26,2,1,1,158,3,1,92,3,4,3,4,1,-37625.97004935926,19494,1,0,1,12,3,4,80,2,25,3,4,25,12,4,12
30,0,1,1312,1,23,3,1,1,159,1,1,96,1,1,6,3,0,-7814.541594496683,22310,1,0,0,25,4,3,80,3,10,2,2,10,7,0,9
33,0,0,750,2,22,2,2,1,160,3,1,95,3,2,7,2,1,18215.271150321245,15480,0,0,0,13,3,1,80,1,8,2,4,7,7,0,7
56,1,2,441,1,14,4,1,1,161,2,0,72,3,1,6,2,1,-24957.52489671518,4510,9,0,1,18,3,1,80,3,7,2,3,5,4,4,3
51,0,2,684,1,6,3,1,1,162,1,1,51,3,5,5,3,2,48767.69065125051,6462,7,0,0,13,3,3,80,0,23,5,3,20,18,15,15
31,1,2,249,2,6,4,1,1,163,2,1,76,1,2,7,3,1,20207.0328039712,20739,4,0,1,18,3,2,80,0,12,3,2,7,7,7,7
26,0,2,841,1,6,3,4,1,164,3,0,46,2,1,6,2,1,16149.402978234544,23300,1,0,0,19,3,3,80,0,5,3,2,5,4,4,3
58,1,2,147,1,23,4,3,1,165,4,0,94,3,3,0,4,1,16547.563134034674,3465,1,0,0,12,3,4,80,1,40,3,2,40,10,15,6
19,1,2,528,2,22,1,2,1,167,4,1,50,3,1,8,3,2,-27662.19878542341,26820,1,0,1,19,3,4,80,0,0,2,2,0,0,0,0
22,0,2,594,1,2,1,5,1,169,3,1,100,3,1,2,4,1,13045.097760035915,19299,0,0,0,14,3,3,80,1,3,2,3,2,1,2,1
49,0,2,470,1,20,4,3,1,170,3,0,96,3,2,4,1,1,-7676.505163327251,5549,1,0,0,14,3,3,80,0,16,2,2,15,11,5,11
43,0,1,957,1,28,3,3,1,171,2,0,72,4,1,6,3,2,28231.449316953323,16090,4,0,0,12,3,4,80,0,18,2,3,3,2,1,2
50,0,1,809,2,12,3,2,1,174,3,0,77,3,3,7,4,2,-11294.005334188681,6645,4,0,0,11,3,4,80,0,16,3,3,2,2,2,1
31,1,2,542,2,20,3,1,1,175,2,0,71,1,2,7,3,1,-7038.254082824784,24788,3,0,1,11,3,3,80,1,4,2,3,2,2,2,2
41,0,2,802,2,9,1,1,1,176,3,1,96,3,3,7,3,0,17293.16460110704,21196,3,0,1,13,3,3,80,1,12,2,3,9,7,0,7
26,0,2,1355,0,25,1,1,1,177,3,0,61,3,1,1,3,1,74728.22813158945,8916,1,0,0,23,4,4,80,1,8,3,3,8,7,5,7
36,0,2,216,1,6,2,3,1,178,2,1,84,3,2,4,2,0,3540.1679012032605,2819,6,0,0,20,4,4,80,2,7,0,3,3,2,0,1
51,1,1,1150,1,8,4,1,1,179,1,1,53,1,3,4,4,2,-666.8629185748778,25150,2,0,0,15,3,4,80,0,18,2,3,4,2,0,3
39,0,2,1329,2,4,4,1,1,182,4,0,47,2,2,7,3,1,13473.010752076281,14590,4,0,0,14,3,3,80,1,17,1,4,15,11,5,9
25,0,2,959,2,28,3,1,1,183,1,1,41,2,2,7,3,1,39032.78895334898,24835,2,0,0,18,3,4,80,0,6,3,3,2,2,2,2
30,0,2,1240,0,9,3,0,1,184,3,1,48,3,2,1,4,1,-12999.127279887394,13982,0,0,1,19,3,4,80,0,12,2,1,11,9,4,7
32,1,2,1033,1,9,3,3,1,190,1,0,41,3,1,2,1,2,35185.245084217684,10224,7,0,0,22,4,1,80,0,10,2,4,5,4,0,4
45,0,2,1316,1,29,3,3,1,192,3,1,83,3,1,6,4,2,-668.7879607722598,9752,5,0,0,13,3,2,80,0,9,2,2,6,5,0,3
38,0,2,364,1,3,5,5,1,193,4,0,32,3,2,6,3,2,5959.945719947878,2302,3,0,1,20,4,2,80,0,19,2,3,3,2,2,2
30,0,2,438,1,18,3,1,1,194,1,0,75,3,1,6,3,2,59986.74712822084,23910,1,0,0,14,3,3,80,0,5,4,2,5,4,0,4
32,0,1,689,2,9,2,3,1,195,4,1,35,1,2,7,4,0,36813.34908725355,22812,0,0,0,17,3,4,80,3,9,2,4,8,7,0,7
30,0,2,201,1,5,3,5,1,197,4,0,84,3,1,6,1,0,6999.240574572134,10415,5,0,0,14,3,4,80,1,8,3,3,3,2,2,2
30,0,2,1427,1,2,1,3,1,198,2,1,35,2,1,2,4,2,1066.0609377616347,11162,0,0,0,13,3,4,80,0,6,3,3,5,3,1,2
41,0,1,857,1,10,3,1,1,199,4,1,91,2,4,3,1,0,14519.9292351863,12888,4,0,0,13,3,2,80,1,21,2,2,7,6,7,7
41,0,2,933,1,9,4,1,1,200,3,1,94,3,1,2,1,1,7438.770949477587,6961,2,0,0,21,4,4,80,1,7,2,3,5,0,1,4
19,0,2,1181,1,3,1,3,1,201,2,0,79,3,1,2,2,2,8130.07427605425,16102,1,0,0,14,3,4,80,0,1,3,3,1,0,0,0
40,0,1,1395,1,26,3,3,1,202,2,0,54,3,2,6,2,0,46499.894760639385,8504,1,0,0,11,3,1,80,1,20,2,3,20,7,2,13
35,0,2,662,2,1,5,2,1,204,3,1,94,3,3,7,2,1,-42651.39366639244,11439,1,0,0,13,3,1,80,2,10,3,3,10,8,0,6
53,0,2,1436,2,6,2,2,1,205,2,1,34,3,2,8,3,1,-3455.5713334596867,16047,2,0,1,20,4,4,80,1,13,3,1,7,7,4,5
45,0,2,194,1,9,3,1,1,206,2,1,60,3,2,2,2,0,12874.879429358472,10901,8,0,0,18,3,3,80,1,20,2,1,17,9,0,15
32,0,1,967,2,8,3,2,1,207,2,0,43,3,3,7,4,2,-29365.71629833029,15589,1,0,0,14,3,4,80,0,9,2,3,9,8,3,7
29,0,0,1496,1,1,1,5,1,208,4,1,41,3,2,4,3,1,-4428.615425489972,26283,1,0,0,13,3,1,80,1,10,1,3,10,7,0,9
51,0,2,1169,1,7,4,3,1,211,2,1,34,2,2,4,3,1,-644.7126559131148,13983,2,0,0,17,3,3,80,0,10,2,3,1,0,0,0
58,0,2,1145,1,9,3,3,1,214,2,0,75,2,1,6,2,1,13425.704332835317,11873,4,0,1,20,4,2,80,1,9,3,2,1,0,0,0
40,0,2,630,2,4,4,2,1,215,3,1,67,2,3,7,4,1,21378.253903428187,8552,7,0,0,11,3,1,80,1,15,2,2,12,11,2,11
34,0,1,303,2,2,4,2,1,216,3,0,75,3,1,8,3,1,-50224.35756695622,11314,6,0,0,18,3,4,80,1,6,3,3,4,3,1,2
22,0,2,1256,1,19,1,3,1,217,3,1,80,3,1,6,4,1,-7062.868974055986,11992,1,0,0,24,4,1,80,2,2,6,3,2,2,2,2
27,0,0,691,1,9,3,3,1,218,4,1,57,3,1,6,2,0,-475.34073300007185,5970,6,0,0,18,3,4,80,1,6,1,1,2,2,2,2
28,0,2,440,1,21,3,3,1,221,3,1,42,3,1,6,4,1,6229.234080381695,6672,1,0,0,11,3,3,80,1,5,2,1,5,2,0,2
57,0,2,334,1,24,2,1,1,223,3,1,83,4,3,0,4,0,-35628.41949868502,23402,3,0,1,16,3,2,80,1,12,2,1,5,3,1,4
27,0,0,1450,1,3,3,3,1,224,3,1,79,2,1,6,3,0,-19384.416353652152,25326,1,0,1,15,3,4,80,1,1,2,2,1,1,0,1
50,0,2,1452,1,11,3,1,1,226,3,0,53,3,5,3,2,2,30896.8759167901,17053,3,0,0,15,3,2,80,0,21,5,3,5,4,4,4
41,0,2,465,1,14,3,1,1,227,1,1,56,3,1,6,3,0,2266.920486852316,4609,4,0,0,12,3,1,80,1,13,2,3,9,8,1,8
30,0,2,1339,2,5,3,1,1,228,2,0,41,3,3,7,4,1,725.9561673328935,8053,2,0,0,12,3,3,80,1,12,2,3,10,9,7,4
38,0,2,702,2,1,4,1,1,230,1,0,59,2,2,7,4,2,3767.2797430795754,12930,4,0,0,22,4,3,80,0,12,2,4,8,3,0,7
32,0,2,120,1,6,5,1,1,231,3,1,43,3,1,6,3,2,79412.60278527308,12430,3,0,0,20,4,1,80,0,8,2,3,5,4,1,4
27,0,2,1157,1,17,3,5,1,233,3,1,51,3,1,6,2,1,54601.74180555263,13364,0,0,1,16,3,4,80,1,6,3,2,5,2,1,1
19,1,1,602,2,1,1,5,1,235,3,0,100,1,1,8,1,2,50429.73759431888,20989,0,0,0,21,4,1,80,0,1,5,4,0,0,0,0
